code;name;value;description;active
CORE_LOGO_URL_EXTJS;Application logo URL - Extjs;http://dnet.nan21.net/static-demo-resources/client-logo.png;"Link to the company logo to be displayed in the Extjs based application";true
CORE_LOGO_URL_STOUCH;Application logo URL - STouch;http://dnet.nan21.net/static-demo-resources/client-logo.png;"Link to the company logo to be displayed in STouch based application";true
CORE_LOGO_URL_REPORT;Report logo URL;http://dnet.nan21.net/static-demo-resources/client-logo-report.png;"Link to the company logo to be displayed in the reports.";true
CORE_SESSION_CHECK_IP;Check request IP;false;"Check if the remote client IP of the request is the same as the one used at login time.
Possible values: true, false";true
CORE_SESSION_CHECK_USER_AGENT;Check request user-agent;false;"Check if the remote client user-agent of the request is the same as the one used at login time. 
Possible values: true, false";true
CORE_EXP_HTML_CSS;Css file location for HTML export;http://localhost:8081/dnet-ebs/extjs.themes/webapp/resources/css/export-html.css;Css used to style the HTML exports from grid;true
CORE_DEFAULT_LANGUAGE;Default language;en;Default language to be used if no language preference set by user.;true
CORE_DEFAULT_THEME_EXTJS;Default theme Extjs;gray;Default theme to be used in Extjs based user interface if no theme preference set by user;true
CORE_DEFAULT_THEME_STOUCH;Default theme STouch;gray;Default theme to be used in Sencha Toucha based user interface if no theme preference set by user;true
MM_MANUFACT_ICON_BASEURL;Manufacturer icon base url;http://dnet.nan21.net/static-demo-resources/MM/product-manufacturers;;true
MM_MANUFACT_ICON_EXT;Manufacturer icon default extension;jpg;;true
MM_PRODCATEG_ICON_BASEURL;Product category icon base url;http://dnet.nan21.net/static-demo-resources/MM/product-categories;;true
MM_PRODCATEG_ICON_EXT;Product category icon default extension;jpg;;true
MM_PRODUCT_ICON_BASEURL;Product icon base url;http://dnet.nan21.net/static-demo-resources/MM/products;;true
MM_PRODUCT_ICON_EXT;Product icon default extension;jpg;;true
MM_PRODUCT_ICON_SUFFIX;Product icon default suffix;-small;;true
MM_PRODUCT_IMAGE_BASEURL;Product image base url;http://dnet.nan21.net/static-demo-resources/MM/products;;true
MM_PRODUCT_IMAGE_EXT;Product image default extension;jpg;;true
MM_PRODUCT_IMAGE_SUFFIX;Product image default suffix;;;true
HR_EMPL_PHOTO_BASEURL;Employee photo base url;http://dnet.nan21.net/static-demo-resources/MM/products;;true
HR_EMPL_PHOTO_EXT;Employee photo default extension;jpg;;true
HR_EMPL_PHOTO_SUFFIX;Employee photo default suffix;-small;;true
